Type de panne;Durée arrêt (h);Résumé intervention;Date intervention;Désignation;Date demande;Cause;Coût matériel;Organe;[Pièce].Désignation;[Pièce].Référence;[Pièce].Quantité;[Pièce].Prix total
Hydraulique;1,08333;Verification de la pompe du lubrifiant / demontage de la pompe et nettoyage du filtre d'huile / nettoyage de la pompe et remplissage du reservoir d'huile / amorcage de la pompe du lubrifiant ;29/03/2025;machine1;29/03/2025 10:05;PROBLEME DE LUBRIFICATION;0;05-Unité de lubrification ;;;;
Automate;5;Activation de la machine ;28/03/2025;machine2;28/03/2025 08:00;PROBLEME INFORMATIQUE;0;07-poste de commande ;;;;
Electronique;0,58333;Verification de l'armoire electrique / redemarrage de la machine ;28/03/2025;machine3;28/03/2025 06:00;PROBLEME ELECTRONIQUE;0;03-Armoire électrique ;;;;
Hydraulique;0,75;Amorcage de la pompe/ verifier les conduites ;28/03/2025;machine1;28/03/2025 02:20;PROBLEME DE LUBRIFICATION;0;05-Unité de lubrification ;;;;
Mécanique;114,71667;Controle axe C et B / modification des axes XYZ du MRZP / Lancement du piece teste;28/03/2025;machine2;28/03/2025 06:47;DECALAGE POSITION AXE;0;02-Axes ;;;;
Mécanique;2;Demontage du protecteur d'axe X / changement du protecteur / remontage des carteres ;27/03/2025;machine2;27/03/2025 11:00;BLOCAGE PROTECTEUR;1700;021-Axes X ;Protecteur d'axe X droit ( SOUFFLET AXE X DROIT 59-1336);M-PR0019;1.0;1700
Arrosage;0,33333;Nettoyage du filtre et flexible entre la pompe et le filtre d'arrosage normal / verification du fonctionnement d'arrosage normal ;27/03/2025;machine2;27/03/2025 20:30;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage ;;;;
Arrosage;0,41667;Nettoyage des buses de retour d'arrosage a reservoir / nettoyage des buses de broche ;27/03/2025;machine2;27/03/2025 08:00;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage ;;;;
Arrosage;1;Nettoyage du circuit d'arrosage normal ;27/03/2025;machine2;27/03/2025 22:00;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage ;;;;
Mécanique;0,66667;Reglage de la pression du bridage-debridage / retour a l'etat intiale de changement palette ;27/03/2025;machine1;27/03/2025 11:25;BLOCAGE CHANGEMENT PALETTE;0;07-Changeur de palettes;;;;
Mécanique;0,51667;Retour a l'etat intiale de changement d'outil ;26/03/2025;machine2;26/03/2025 06:29;BLOCAGE CHANGEMENT D'OUTIL;0;06-changement d'outil;;;;
Mécanique;1,16667;Changement du vis bras renishow cassee / reglage XY et etalonage du prob ;26/03/2025;machine2;26/03/2025 11:50;PALPEUR HS /CASSE / A CALIBRER;0;063-Systeme de mesure d'outil;;;;
Mécanique;1;Verification de serrage du bras / restauration des conditions de changement d'outil / limitation avance du changement d'outil ;26/03/2025;machine2;26/03/2025 14:00;BLOCAGE CHANGEMENT D'OUTIL;0;06-changement d'outil;;;;
Arrosage;0,41667;Nettoyage du filtre d'arrosage centre ;26/03/2025;machine4;26/03/2025 03:30;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Arrosage;1,08333;Nettoyage du filtre d'arrosage centre ;26/03/2025;machine4;26/03/2025 06:30;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Arrosage;0,58333;Nettoyage du filtre et l'emplacement du filtre d'arrosage centre / verification du fonctionnement d'arrosage centre ;26/03/2025;machine4;26/03/2025 14:50;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Mécanique;0,5;Verification du moteur du convoyeur / deblocage du convoyeur (probleme du convoyeur);26/03/2025;machine3;26/03/2025 08:30;BLOCAGE DE CONVOYEUR A COPEAUX;0;042-Convoyeur de copeaux;;;;
Electrique;0,5;Rearmer le disjoncteur A005Q21 ;26/03/2025;machine3;26/03/2025 09:30;PANNE ELECTRIQUE;0;03-Armoire électrique ;;;;
Mécanique;38,25;Modification des valuers cinematique / controle geo-lancement de la piece test ;26/03/2025;machine3;26/03/2025 21:45;DECALAGE POSITION AXE;0;02-Axes;;;;
Mécanique;0,5;Retour a l'etat intiale de changement palette ;25/03/2025;machine1;25/03/2025 07:30;BLOCAGE CHANGEMENT PALETTE;0;07-Changeur de palettes;;;;
Mécanique;5,18333;Changement de la courroie de l'axe C ;25/03/2025;machine2;25/03/2025 08:49;BLOCAGE AXES PRINCIPAUX;46,3;0242-Axe C;Courroie d'axe C (BELT PCGT 5MX15 5MGT- 600-15);M-TRANS0023;1.0;46,3
Mécanique;1,36667;Verification du bras de changement d'outil / restauration des conditions de changement d'outil / lancement du programme pour tester le fonctionnement ;25/03/2025;machine2;25/03/2025 18:08;BLOCAGE CHANGEMENT D'OUTIL;0;06-changement d'outil;;;;
Mécanique;0,33333;Redemarrage de la machine / retour des axes a l'origine / demander a l'operateur pour verifier l'etat d'outil T21;25/03/2025;machine4;25/03/2025 21:30;SURCHARGE BROCHE;0;01-Broche;;;;
Mécanique;0,8;Deblocage du convoyeur / verification du moteur du convoyeur ;25/03/2025;machine3;25/03/2025 02:12;BLOCAGE DE CONVOYEUR A COPEAUX;0;042-Convoyeur de copeaux;;;;
Mécanique;1,25;"Modification sur le parametre ""1851"" sur l'axe Y ";25/03/2025;machine1;25/03/2025 02:00;VIBRATIONS;0;12-Bâti ;;;;
Mécanique;1,5;Changement du ventilateur du variateur d'alimentation ;25/03/2025;machine5;25/03/2025 14:30;PROBLEME DE REFROIDISSEMENT;51,85;03-Armoire électrique ;VENTILATEUR DC24V 120X120X38;M-VEN0005;1.0;51,85
Arrosage;0,33333;Changement du filtre d'arrosage au centre /verification du fonctionnement d'arrsage centre (4.6bar);24/03/2025;machine2;24/03/2025 16:20;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage ;;;;
Mécanique;1,08333;Prendre l'origine du preneur / verification et reglage des valeurs de la position de changement d'outil (X=-794.089 Y=-345.531 Z=-209.789)=>(X=-796.979 Y=-344.131 Z=-211.151) / verification du fonctionement de changement d'outils ;24/03/2025;machine3;24/03/2025 16:10;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Mécanique;2;Controle broche (rapport attache au bon);24/03/2025;machine3;24/03/2025 11:30;AMELIORATION MACHINE // VERIFICATION MACHINE;0;01-Broche ;;;;
Electronique;0,41667;Reset power de la machine / verification programme / retour des axes a l'origine  ;24/03/2025;machine3;24/03/2025 17:15;DEFAUT OPERATEUR;0;03-Armoire électrique ;;;;
Arrosage;2,25;Vidange et nettoyage du filtre secondaire d'arrosage centre ;24/03/2025;machine4;24/03/2025 12:00;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Mécanique;4;Lancement RTCP (GEO 5 AXES );24/03/2025;machine1;24/03/2025 10:00;DECALAGE POSITION AXE;0;02-Axes;;;;
Arrosage;2,91667;Nettoyage du filtre d'arrosage ;24/03/2025;machine4;24/03/2025 12:00;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage;;;;
Mécanique;0,58333;Verification de l'etat de la pince d'outil / graissage de la pince et ressort du preneur / retour du preneur de changement d'outils a l'etat initiale ;23/03/2025;machine3;23/03/2025 14:15;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Mécanique;0,46667;Retour du COA a l'etat intiale / verification du fonctionnement de changement outil ;22/03/2025;machine2;22/03/2025 04:52;BLOCAGE CHANGEMENT D'OUTIL;0;06-changement d'outil;;;;
Hydraulique;1,25;Demontage des carteres de la COA / vindage et remplissage du reservoir de la COA / remontage des carteres de la COA    80W-90 ;22/03/2025;machine1;22/03/2025 12:30;AMELIORATION MACHINE // VERIFICATION MACHINE;0;06-Changement d'outils;;;;
Mécanique;0,58333;Nettoyage de la position d'axe Z / redemarrage de la machine /retour de l'axe Z a l'etat intiale ;22/03/2025;machine6;22/03/2025 10:20;BLOCAGE AXES PRINCIPAUX;0;023-Axe Z;;;;
Hydraulique;0,66667;Remplissage du groupe hydraulique / retour du CPA a l'etat intiale ;21/03/2025;machine1;21/03/2025 22:00;PROBLEME DE LUBRIFICATION;0;05-Unité de lubrification ;;;;
Mécanique;0,75;Retour du changement palette a l'etat intiale ;21/03/2025;machine1;21/03/2025 16:05;BLOCAGE CHANGEMENT PALETTE;0;07-Changeur de palettes;;;;
Mécanique;3,58333;Remontage de l'ancien ventilateur a l'attente de l'echanger avec un nouveau ventilateur / redemarrage machine ;21/03/2025;machine5;21/03/2025 22:15;PROBLEME DE REFROIDISSEMENT;0;032-Variateurs;;;;
Electronique;1;Demontage des cartere / changement du ventilateur du variateur / remontage des carteres des ventilateur ;21/03/2025;machine5;21/03/2025 14:30;PROBLEME DE REFROIDISSEMENT;0;034-Refoidisseur armoire ;;;;
Arrosage;0,53333;Nettoyage du bag d'arrosage / nettoyage de la pompe d'arrosage ;21/03/2025;machine2;21/03/2025 00:23;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage ;;;;
Mécanique;0,41667;Retour a l'etat initiale de changement d'outils ;21/03/2025;machine3;21/03/2025 12:30;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Mécanique;0,5;Reglage de la position du capteur de presence d'outil / remettre le magasin ATC a la position intiale ;21/03/2025;machine3;21/03/2025 03:15;BLOCAGE CHANGEMENT D'OUTIL;0;06-Changement d'outils;;;;
Arrosage;1;Nettoyage du bag d'arrosage / nettoyage de la pompe / fixation du filtre ;20/03/2025;machine2;20/03/2025 02:45;PROBLEME D'ARROSAGE;0;04-Groupe d'arrosage ;;;;
Hydraulique;0,5;Verification du circuit du groupe de refroidissement / remplissage du groupe de refroidissement ;20/03/2025;machine3;20/03/2025 20:00;PROBLEME DE REFROIDISSEMENT;0;09-Groupe frigorifique;;;;
Arrosage;0,3;Nettoyage de la pompe du convoyeur ;20/03/2025;machine6;20/03/2025 00:12;DEBORDEMENT ;0;04-Groupe d'arrosage;;;;
Hydraulique;0,66667;Vidange du reservoir d'huile de la COA /remplissage du reservoir d'huile de la COA (80W-90);20/03/2025;machine6;20/03/2025 12:50;PROBLEME DE LUBRIFICATION;0;05-Unité de lubrification ;;;;
Hydraulique;1;Vindage du reservoir d'huile COA / demontage des carteresde la COA / remplissage du reservoir d'huile de la COA (80W-90)/ remontage des carteres de la COA ;20/03/2025;machine1;20/03/2025 11:40;PROBLEME DE LUBRIFICATION;0;05-Unité de lubrification ;;;;
