Type de panne;Durée arrêt (h);Résultat;Date intervention;Désignation;Coût matériel;[Pièce].Désignation;[Pièce].Référence;[Pièce].Quantité
Mécanique;0,41667;;25/04/2025;machine1;0;;;
Mécanique;1,33333;;24/04/2025;machine1;0;;;
Mécanique;0,5;;24/04/2025;machine2;0;;;
Mécanique;0,33333;;24/04/2025;machine2;0;;;
Mécanique;6,08333;;24/04/2025;machine3;0;;;
Mécanique;1,33333;;24/04/2025;machine4;0;;;
Mécanique;1;;24/04/2025;machine2;0;;;
Mécanique;0,5;;23/04/2025;machine1;0;;;
Arrosage;0,33333;;23/04/2025;machine3;393,47;FILTER ELEMENT d'arrosage au centre DA-300  (Z476Z0500270 FILTER ELEMENT);M-F0040;1.0
Mécanique;11,5;;23/04/2025;machine4;0;;;
Mécanique;10,25;;23/04/2025;machine4;0;;;
Mécanique;1,73333;;22/04/2025;machine5;46,3;Courroie d'axe C (BELT PCGT 5MX15 5MGT- 600-15);M-TRANS0023;1.0
Mécanique;0,58333;;22/04/2025;machine2;0;;;
Mécanique;0,58333;;22/04/2025;machine2;0;;;
Mécanique;1,25;;22/04/2025;machine2;0;;;
Mécanique;0,25;;22/04/2025;machine2;0;;;
Electronique;1,25;;21/04/2025;machine5;0;;;
Mécanique;2,5;;21/04/2025;machine5;0;;;
Mécanique;2;;21/04/2025;machine5;0;;;
Mécanique;0,33333;;21/04/2025;machine2;0;;;
Arrosage;0,5;;21/04/2025;machine2;0;;;
Electronique;0,58333;;21/04/2025;machine4;283,35;LAMPE E36608A01;M-ECL0004;1.0
Mécanique;1,75;;21/04/2025;machine4;0;;;
Arrosage;0,41667;;21/04/2025;machine4;0;;;
Arrosage;0,58333;;21/04/2025;machine4;0;;;
Mécanique;6,16667;;21/04/2025;machine2;0;;;
Mécanique;9,08333;;19/04/2025;machine5;0;;;
Mécanique;1,06667;;19/04/2025;machine5;46,3;Courroie d'axe C (BELT PCGT 5MX15 5MGT- 600-15);M-TRANS0023;1.0
Mécanique;1,5;;19/04/2025;machine5;0;;;
Mécanique;0,58333;;19/04/2025;machine1;0;;;
Mécanique;0,61667;;19/04/2025;machine2;0;;;
Hydraulique;0,33333;;18/04/2025;machine2;0;;;
Mécanique;0,41667;;18/04/2025;machine4;0;;;
Arrosage;0,33333;;18/04/2025;machine4;0;;;
Mécanique;0,41667;;18/04/2025;machine4;0;;;
Arrosage;0,41667;;17/04/2025;machine5;0;;;
Arrosage;0,41667;;17/04/2025;machine3;0;;;
Mécanique;0,83333;;17/04/2025;machine4;0;;;
Mécanique;0,41667;;17/04/2025;machine2;0;;;
Pneumatique;1;;16/04/2025;machine5;0;;;
Mécanique;1,25;;16/04/2025;machine5;0;;;
Mécanique;0,66667;;16/04/2025;machine2;0;;;
Hydraulique;0,58333;;16/04/2025;machine2;0;;;
Hydraulique;0,41667;;16/04/2025;machine6;0;;;
