Type de panne;Durée arrêt (h);Date intervention;Désignation;Catégorie de panne;Nombre d'heures MO;Coût total intervention;[MO interne].Nom;[MO interne].Prénom;[MO interne].Nombre d'heures
Hydraulique;1,08333;29/03/2025;machine1;Hydraulique;1;56;tech;one;1
Automate;5;28/03/2025;machine2;Automate;0,08333;0,69;tech;two;0,08333
Electronique;0,58333;28/03/2025;machine3;Electronique;0,25;22,17;tech;three;0,25
Hydraulique;0,75;28/03/2025;machine1;Hydraulique;1,16666;42,72;tech;four;0,58333
Hydraulique;0,75;28/03/2025;machine1;Hydraulique;1,16666;42,72;tech;five;0,58333
Mécanique;114,71667;28/03/2025;machine2;Mécanique;15;83,3;tech;one;10
Mécanique;114,71667;28/03/2025;machine2;Mécanique;15;83,3;tech;three;5
Mécanique;2;27/03/2025;machine2;Mécanique;6;1733,32;tech;two;2
Mécanique;2;27/03/2025;machine2;Mécanique;6;1733,32;tech;one;2
Mécanique;2;27/03/2025;machine2;Mécanique;6;1733,32;tech;three;2
Arrosage;0,33333;27/03/2025;machine2;Arrosage;0,99999;5,56;tech;six;0,33333
Arrosage;0,33333;27/03/2025;machine2;Arrosage;0,99999;5,56;tech;seven;0,33333
Arrosage;0,33333;27/03/2025;machine2;Arrosage;0,99999;5,56;tech;eight;0,33333
Arrosage;0,41667;27/03/2025;machine2;Arrosage;0,33333;2,78;tech;one;0,33333
Arrosage;1;27/03/2025;machine2;Arrosage;0,5;4,17;tech;five;0,5
Mécanique;0,66667;27/03/2025;machine1;Mécanique;0,5;33,5;tech;nine;0,5
Mécanique;0,51667;26/03/2025;machine2;Mécanique;0,5;4,17;tech;nine;0,5
Mécanique;1,16667;26/03/2025;machine2;Mécanique;1;8,33;tech;nine;1
Mécanique;1;26/03/2025;machine2;Mécanique;1,75;6,25;tech;two;0,75
Mécanique;1;26/03/2025;machine2;Mécanique;1,75;6,25;tech;eight;1
Arrosage;0,41667;26/03/2025;machine4;Arrosage;0,66666;5,56;tech;four;0,33333
Arrosage;0,41667;26/03/2025;machine4;Arrosage;0,66666;5,56;tech;five;0,33333
Arrosage;1,08333;26/03/2025;machine4;Arrosage;1;8,33;tech;nine;1
Arrosage;0,58333;26/03/2025;machine4;Arrosage;1;8,34;tech;six;0,5
Arrosage;0,58333;26/03/2025;machine4;Arrosage;1;8,34;tech;seven;0,5
Mécanique;0,5;26/03/2025;machine3;Mécanique;0,5;23,17;tech;nine;0,5
Electrique;0,5;26/03/2025;machine3;Electrique;0,5;23,17;tech;nine;0,5
Mécanique;38,25;26/03/2025;machine3;Mécanique;11,5;1511,81;tech;nine;7
Mécanique;38,25;26/03/2025;machine3;Mécanique;11,5;1511,81;tech;three;4,5
Mécanique;0,5;25/03/2025;machine1;Mécanique;0,5;26,17;tech;nine;0,5
Mécanique;5,18333;25/03/2025;machine2;Mécanique;5;87,95;tech;nine;5
Mécanique;1,36667;25/03/2025;machine2;Mécanique;2,66666;11,11;tech;six;1,33333
Mécanique;1,36667;25/03/2025;machine2;Mécanique;2,66666;11,11;tech;eight;1,33333
Mécanique;0,33333;25/03/2025;machine4;Mécanique;0,75;4,16;tech;six;0,25
Mécanique;0,33333;25/03/2025;machine4;Mécanique;0,75;4,16;tech;seven;0,25
Mécanique;0,33333;25/03/2025;machine4;Mécanique;0,75;4,16;tech;eight;0,25
Mécanique;0,8;25/03/2025;machine3;Mécanique;0,33333;33,18;tech;five;0,33333
Mécanique;1,25;25/03/2025;machine1;Mécanique;2,16666;73,04;tech;four;1,08333
Mécanique;1,25;25/03/2025;machine1;Mécanique;2,16666;73,04;tech;five;1,08333
Mécanique;1,5;25/03/2025;machine5;Mécanique;3;94,35;tech;six;1,5
Mécanique;1,5;25/03/2025;machine5;Mécanique;3;94,35;tech;eight;1,5
Arrosage;0,33333;24/03/2025;machine2;Arrosage;0,66666;5,56;tech;six;0,33333
Arrosage;0,33333;24/03/2025;machine2;Arrosage;0,66666;5,56;tech;seven;0,33333
Mécanique;1,08333;24/03/2025;machine3;Mécanique;2,24999;50,89;tech;six;0,58333
Mécanique;1,08333;24/03/2025;machine3;Mécanique;2,24999;50,89;tech;seven;0,58333
Mécanique;1,08333;24/03/2025;machine3;Mécanique;2,24999;50,89;tech;eight;1,08333
Mécanique;2;24/03/2025;machine3;Mécanique;1;76;tech;three;1
Electronique;0,41667;24/03/2025;machine3;Electronique;0,83334;19,3;tech;six;0,41667
Electronique;0,41667;24/03/2025;machine3;Electronique;0,83334;19,3;tech;eight;0,41667
Arrosage;2,25;24/03/2025;machine4;Arrosage;0,25;2,08;tech;six;0,25
Mécanique;4;24/03/2025;machine1;Mécanique;12;242,64;tech;one;4
Mécanique;4;24/03/2025;machine1;Mécanique;12;242,64;tech;nine;4
Mécanique;4;24/03/2025;machine1;Mécanique;12;242,64;tech;three;4
Arrosage;2,91667;24/03/2025;machine4;Arrosage;0,16667;1,39;tech;seven;0,16667
Mécanique;0,58333;23/03/2025;machine3;Mécanique;0,5;26,34;tech;one;0,5
Mécanique;0,46667;22/03/2025;machine2;Mécanique;0,99999;5,56;tech;six;0,33333
Mécanique;0,46667;22/03/2025;machine2;Mécanique;0,99999;5,56;tech;seven;0,33333
Mécanique;0,46667;22/03/2025;machine2;Mécanique;0,99999;5,56;tech;eight;0,33333
Hydraulique;1,25;22/03/2025;machine1;Hydraulique;1,25;65,41;tech;one;1,25
Mécanique;0,58333;22/03/2025;machine6;Mécanique;0,5;25,17;tech;one;0,5
Hydraulique;0,66667;21/03/2025;machine1;Hydraulique;0,83334;32,8;tech;six;0,41667
Hydraulique;0,66667;21/03/2025;machine1;Hydraulique;0,83334;32,8;tech;eight;0,41667
Mécanique;0,75;21/03/2025;machine1;Mécanique;0,33333;33;tech;three;0,33333
Mécanique;3,58333;21/03/2025;machine5;Mécanique;9,50001;124,43;tech;six;3,16667
Mécanique;3,58333;21/03/2025;machine5;Mécanique;9,50001;124,43;tech;seven;3,16667
Mécanique;3,58333;21/03/2025;machine5;Mécanique;9,50001;124,43;tech;eight;3,16667
Electronique;1;21/03/2025;machine5;Electronique;1,58333;28,33;tech;one;1
Electronique;1;21/03/2025;machine5;Electronique;1,58333;28,33;tech;three;0,58333
Arrosage;0,53333;21/03/2025;machine2;Arrosage;1;4,17;tech;seven;0,5
Arrosage;0,53333;21/03/2025;machine2;Arrosage;1;4,17;tech;eight;0,5
Mécanique;0,41667;21/03/2025;machine3;Mécanique;0,33333;18,61;tech;five;0,33333
Mécanique;0,5;21/03/2025;machine3;Mécanique;1;23,17;tech;seven;0,5
Mécanique;0,5;21/03/2025;machine3;Mécanique;1;23,17;tech;eight;0,5
Arrosage;1;20/03/2025;machine2;Arrosage;2;8,33;tech;seven;1
Arrosage;1;20/03/2025;machine2;Arrosage;2;8,33;tech;eight;1
Hydraulique;0,5;20/03/2025;machine3;Hydraulique;0,33333;19;tech;three;0,33333
Arrosage;0,3;20/03/2025;machine6;Arrosage;0,5;12,88;tech;seven;0,25
Arrosage;0,3;20/03/2025;machine6;Arrosage;0,5;12,88;tech;eight;0,25
Hydraulique;0,66667;20/03/2025;machine6;Hydraulique;0,66667;29,55;tech;one;0,66667
Hydraulique;1;20/03/2025;machine1;Hydraulique;1;8,33;tech;one;1
Hydraulique;1,5;20/03/2025;machine1;Hydraulique;1,5;12,5;tech;one;1,5
Arrosage;0,75;20/03/2025;machine6;Arrosage;1;31,17;tech;seven;0,5
Arrosage;0,75;20/03/2025;machine6;Arrosage;1;31,17;tech;eight;0,5
Pneumatique;0,5;19/03/2025;machine2;Pneumatique;0,41667;3,47;tech;five;0,41667
Mécanique;1,83333;19/03/2025;machine2;Mécanique;3;12,5;tech;nine;1,5
Mécanique;1,83333;19/03/2025;machine2;Mécanique;3;12,5;tech;three;1,5
Arrosage;0,5;19/03/2025;machine2;Arrosage;1;4,17;tech;seven;0,5
Arrosage;0,5;19/03/2025;machine2;Arrosage;1;4,17;tech;eight;0,5
Arrosage;0,5;19/03/2025;machine2;Arrosage;0,5;4,17;tech;five;0,5
Mécanique;0,33333;19/03/2025;machine4;Mécanique;0,25;0;tech;three;0,25
Mécanique;6;19/03/2025;machine3;Mécanique;1,66666;234,94;tech;seven;0,83333
Mécanique;6;19/03/2025;machine3;Mécanique;1,66666;234,94;tech;eight;0,83333
Mécanique;1;18/03/2025;machine2;Mécanique;2;698,33;tech;seven;1
Mécanique;1;18/03/2025;machine2;Mécanique;2;698,33;tech;eight;1
Arrosage;1,23333;18/03/2025;machine2;Arrosage;2,5;10,41;tech;seven;1,25
Arrosage;1,23333;18/03/2025;machine2;Arrosage;2,5;10,41;tech;eight;1,25
Mécanique;0,41667;18/03/2025;machine2;Mécanique;0,66666;5,56;tech;four;0,33333
Mécanique;0,41667;18/03/2025;machine2;Mécanique;0,66666;5,56;tech;five;0,33333
Mécanique;1,33333;18/03/2025;machine3;Mécanique;1;59;tech;five;1
Hydraulique;1,5;18/03/2025;machine3;Hydraulique;2,33334;66,72;tech;six;1,16667
Hydraulique;1,5;18/03/2025;machine3;Hydraulique;2,33334;66,72;tech;eight;1,16667
Mécanique;0,58333;18/03/2025;machine3;Mécanique;1,16666;31,89;tech;six;0,58333
Mécanique;0,58333;18/03/2025;machine3;Mécanique;1,16666;31,89;tech;seven;0,58333
Mécanique;0,75;18/03/2025;machine3;Mécanique;0,41667;28,5;tech;three;0,41667
Mécanique;2,08333;18/03/2025;machine1;Mécanique;4;108,33;tech;nine;2
Mécanique;2,08333;18/03/2025;machine1;Mécanique;4;108,33;tech;three;2
Arrosage;0,66667;18/03/2025;machine6;Arrosage;0,41667;24;tech;three;0,41667
Arrosage;1,5;18/03/2025;machine6;Arrosage;3;66,5;tech;six;1,5
Arrosage;1,5;18/03/2025;machine6;Arrosage;3;66,5;tech;eight;1,5
Arrosage;1,66667;18/03/2025;machine6;Arrosage;2,5;80,83;tech;four;1,16667
Arrosage;1,66667;18/03/2025;machine6;Arrosage;2,5;80,83;tech;five;1,33333
Electronique;0,5;17/03/2025;machine2;Electronique;0,66666;5,56;tech;four;0,33333
Electronique;0,5;17/03/2025;machine2;Electronique;0,66666;5,56;tech;five;0,33333
Hydraulique;1,33333;17/03/2025;machine3;Hydraulique;1;50,67;tech;three;1
Mécanique;4,16667;17/03/2025;machine3;Mécanique;6,5;183,32;tech;nine;3
Mécanique;4,16667;17/03/2025;machine3;Mécanique;6,5;183,32;tech;three;3,5
Mécanique;9,41667;17/03/2025;machine3;Mécanique;1,33333;366,16;tech;seven;1
Mécanique;9,41667;17/03/2025;machine3;Mécanique;1,33333;366,16;tech;eight;0,33333
Arrosage;0,91667;17/03/2025;machine6;Arrosage;0,25;35,08;tech;six;0,25
Electronique;0,31667;17/03/2025;machine5;Electronique;0,31667;6,33;tech;eight;0,31667
Arrosage;0,75;17/03/2025;machine6;Arrosage;2,25;39,5;tech;six;0,75
Arrosage;0,75;17/03/2025;machine6;Arrosage;2,25;39,5;tech;seven;0,75
Arrosage;0,75;17/03/2025;machine6;Arrosage;2,25;39,5;tech;eight;0,75
Mécanique;15,5;16/03/2025;machine3;Mécanique;3,66666;619,54;tech;four;1,83333
Mécanique;15,5;16/03/2025;machine3;Mécanique;3,66666;619,54;tech;five;1,83333
Arrosage;6;16/03/2025;machine3;Arrosage;5;539,65;tech;one;5
Mécanique;5,5;16/03/2025;machine1;Mécanique;1,91667;257,97;tech;one;1,91667
Hydraulique;0,91667;15/03/2025;machine3;Hydraulique;1,83334;42,47;tech;nine;0,91667
Hydraulique;0,91667;15/03/2025;machine3;Hydraulique;1,83334;42,47;tech;three;0,91667
Arrosage;0,7;14/03/2025;machine2;Arrosage;1;8,34;tech;four;0,5
Arrosage;0,7;14/03/2025;machine2;Arrosage;1;8,34;tech;five;0,5
Pneumatique;1;14/03/2025;machine2;Pneumatique;2;16,66;tech;four;1
Pneumatique;1;14/03/2025;machine2;Pneumatique;2;16,66;tech;five;1
Mécanique;0,5;14/03/2025;machine3;Mécanique;0,41667;19;tech;three;0,41667
Hydraulique;0,5;13/03/2025;machine3;Hydraulique;0,33333;19;tech;three;0,33333
Mécanique;4,75;13/03/2025;machine3;Mécanique;8;247,14;tech;four;4
Mécanique;4,75;13/03/2025;machine3;Mécanique;8;247,14;tech;five;4
Mécanique;1,41667;13/03/2025;machine3;Mécanique;2,25;64,24;tech;nine;1,25
Mécanique;1,41667;13/03/2025;machine3;Mécanique;2,25;64,24;tech;three;1
Mécanique;1,5;13/03/2025;machine1;Mécanique;1,33333;77,11;tech;one;1,33333
Arrosage;1,25;13/03/2025;machine6;Arrosage;0,41667;45;tech;three;0,41667
Electronique;0,41667;13/03/2025;machine6;Electronique;0,25;15;tech;three;0,25
Mécanique;0,58333;13/03/2025;machine6;Mécanique;0,5;25,17;tech;two;0,5
Mécanique;0,66667;12/03/2025;machine2;Mécanique;15;74,97;tech;six;3
Mécanique;0,66667;12/03/2025;machine2;Mécanique;15;74,97;tech;seven;3
Mécanique;0,66667;12/03/2025;machine2;Mécanique;15;74,97;tech;nine;3
Mécanique;0,66667;12/03/2025;machine2;Mécanique;15;74,97;tech;eight;3
Mécanique;0,66667;12/03/2025;machine2;Mécanique;15;74,97;tech;three;3
Arrosage;0,41667;12/03/2025;machine2;Arrosage;0,25;2,08;tech;six;0,25
Mécanique;6,08333;12/03/2025;machine4;Mécanique;1,5;4,17;tech;six;0,5
